node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,1,0,13
0,1,f5,hdiff,0,1,0,13
0,1,f5,hi,0,1,0,13
0,1,f5,hlength,0,1,0,13
0,1,f5,hmax,0,1,0,12
0,1,f5,hnba,0,1,0,12
0,1,f1,hg,0,1,0,12
0,1,f1,hdiff,0,1,0,12
0,1,f2,hg,0,1,0,12
0,1,f2,hdiff,0,1,0,12
0,1,f2,hi,0,1,0,14
0,1,f2,hlength,0,1,0,12
0,1,f2,hmax,0,1,0,12
0,1,f2,hnba,0,1,0,12
0,1,f4,hg,0,1,0,13
0,1,f4,hdiff,0,1,0,12
0,1,f4,hi,0,1,0,14
0,1,f4,hlength,0,1,0,11
0,1,f4,hmax,0,1,0,12
0,1,f4,hnba,0,1,0,11
0,1,f3,hg,0,1,0,12
0,1,f3,hdiff,0,1,0,12
0,1,f3,hi,0,1,0,12
0,1,f3,hlength,0,1,0,12
0,1,f3,hmax,0,1,0,11
0,1,f3,hnba,0,1,0,12
0,1,f6,hg,0,1,0,13
0,1,f6,hdiff,0,1,0,13
0,1,f6,hi,0,1,0,15
0,1,f6,hlength,0,1,0,12
0,1,f6,hmax,0,1,0,13
0,1,f6,hnba,0,1,0,12
1,1,f5,hg,1,0,11,13
1,1,f5,hdiff,1,0,11,13
1,1,f5,hi,0,0,13,13
1,1,f5,hlength,1,0,10,13
1,1,f5,hmax,0,0,12,12
1,1,f5,hnba,0,0,11,12
1,1,f1,hg,0,0,11,12
1,1,f1,hdiff,0,0,11,12
1,1,f2,hg,0,0,11,12
1,1,f2,hdiff,0,0,11,12
1,1,f2,hi,1,0,12,14
1,1,f2,hlength,0,0,11,12
1,1,f2,hmax,0,0,11,12
1,1,f2,hnba,0,0,11,12
1,1,f4,hg,1,0,11,13
1,1,f4,hdiff,0,0,11,12
1,1,f4,hi,0,0,13,14
1,1,f4,hlength,0,0,10,11
1,1,f4,hmax,0,0,11,12
1,1,f4,hnba,0,0,10,11
1,1,f3,hg,0,0,12,12
1,1,f3,hdiff,0,0,12,12
1,1,f3,hi,0,0,11,12
1,1,f3,hlength,0,0,11,12
1,1,f3,hmax,0,0,12,11
1,1,f3,hnba,0,0,11,12
1,1,f6,hg,1,0,11,13
1,1,f6,hdiff,1,0,11,13
1,1,f6,hi,1,0,13,15
1,1,f6,hlength,1,0,10,12
1,1,f6,hmax,0,0,12,13
1,1,f6,hnba,1,0,10,12
2,1,f5,hg,0,1,0,13
2,1,f5,hdiff,0,1,0,13
2,1,f5,hi,0,1,0,13
2,1,f5,hlength,0,1,0,13
2,1,f5,hmax,0,1,0,12
2,1,f5,hnba,0,1,0,12
2,1,f1,hg,0,1,0,12
2,1,f1,hdiff,0,1,0,12
2,1,f2,hg,0,1,0,12
2,1,f2,hdiff,0,1,0,12
2,1,f2,hi,0,1,0,14
2,1,f2,hlength,0,1,0,12
2,1,f2,hmax,0,1,0,12
2,1,f2,hnba,0,1,0,12
2,1,f4,hg,0,1,0,13
2,1,f4,hdiff,0,1,0,12
2,1,f4,hi,0,1,0,14
2,1,f4,hlength,0,1,0,11
2,1,f4,hmax,0,1,0,12
2,1,f4,hnba,0,1,0,11
2,1,f3,hg,0,1,0,12
2,1,f3,hdiff,0,1,0,12
2,1,f3,hi,0,1,0,12
2,1,f3,hlength,0,1,0,12
2,1,f3,hmax,0,1,0,11
2,1,f3,hnba,0,1,0,12
2,1,f6,hg,0,1,0,13
2,1,f6,hdiff,0,1,0,13
2,1,f6,hi,0,1,0,15
2,1,f6,hlength,0,1,0,12
2,1,f6,hmax,0,1,0,13
2,1,f6,hnba,0,1,0,12
3,1,f5,hg,1,0,11,13
3,1,f5,hdiff,1,0,11,13
3,1,f5,hi,0,0,12,13
3,1,f5,hlength,1,0,11,13
3,1,f5,hmax,0,0,12,12
3,1,f5,hnba,0,0,12,12
3,1,f1,hg,0,0,11,12
3,1,f1,hdiff,0,0,11,12
3,1,f2,hg,0,0,11,12
3,1,f2,hdiff,0,0,11,12
3,1,f2,hi,1,0,11,14
3,1,f2,hlength,0,0,11,12
3,1,f2,hmax,0,0,12,12
3,1,f2,hnba,0,0,11,12
3,1,f4,hg,0,0,12,13
3,1,f4,hdiff,0,0,12,12
3,1,f4,hi,1,0,12,14
3,1,f4,hlength,0,0,11,11
3,1,f4,hmax,0,0,11,12
3,1,f4,hnba,0,0,11,11
3,1,f3,hg,0,0,11,12
3,1,f3,hdiff,0,0,11,12
3,1,f3,hi,0,0,12,12
3,1,f3,hlength,0,0,11,12
3,1,f3,hmax,0,0,11,11
3,1,f3,hnba,0,0,11,12
3,1,f6,hg,1,0,11,13
3,1,f6,hdiff,1,0,11,13
3,1,f6,hi,1,0,12,15
3,1,f6,hlength,0,0,11,12
3,1,f6,hmax,0,0,12,13
3,1,f6,hnba,0,0,11,12
4,1,f5,hg,0,1,0,13
4,1,f5,hdiff,0,1,0,13
4,1,f5,hi,0,1,0,13
4,1,f5,hlength,0,1,0,13
4,1,f5,hmax,0,1,0,12
4,1,f5,hnba,0,1,0,12
4,1,f1,hg,0,1,0,12
4,1,f1,hdiff,0,1,0,12
4,1,f2,hg,0,1,0,12
4,1,f2,hdiff,0,1,0,12
4,1,f2,hi,0,1,0,14
4,1,f2,hlength,0,1,0,12
4,1,f2,hmax,0,1,0,12
4,1,f2,hnba,0,1,0,12
4,1,f4,hg,0,1,0,13
4,1,f4,hdiff,0,1,0,12
4,1,f4,hi,0,1,0,14
4,1,f4,hlength,0,1,0,11
4,1,f4,hmax,0,1,0,12
4,1,f4,hnba,0,1,0,11
4,1,f3,hg,0,1,0,12
4,1,f3,hdiff,0,1,0,12
4,1,f3,hi,0,1,0,12
4,1,f3,hlength,0,1,0,12
4,1,f3,hmax,0,1,0,11
4,1,f3,hnba,0,1,0,12
4,1,f6,hg,0,1,0,13
4,1,f6,hdiff,0,1,0,13
4,1,f6,hi,0,1,0,15
4,1,f6,hlength,0,1,0,12
4,1,f6,hmax,0,1,0,13
4,1,f6,hnba,0,1,0,12
5,2,f5,hg,0,1,0,13
5,2,f5,hdiff,0,1,0,13
5,2,f5,hi,0,1,0,13
5,2,f5,hlength,0,1,0,13
5,2,f5,hmax,0,1,0,12
5,2,f5,hnba,0,1,0,12
5,2,f1,hg,0,1,0,12
5,2,f1,hdiff,0,1,0,12
5,2,f2,hg,0,1,0,12
5,2,f2,hdiff,0,1,0,12
5,2,f2,hi,0,1,0,14
5,2,f2,hlength,0,1,0,12
5,2,f2,hmax,0,1,0,12
5,2,f2,hnba,0,1,0,12
5,2,f4,hg,0,1,0,13
5,2,f4,hdiff,0,1,0,12
5,2,f4,hi,0,1,0,14
5,2,f4,hlength,0,1,0,11
5,2,f4,hmax,0,1,0,12
5,2,f4,hnba,0,1,0,11
5,2,f3,hg,0,1,0,12
5,2,f3,hdiff,0,1,0,12
5,2,f3,hi,0,1,0,12
5,2,f3,hlength,0,1,0,12
5,2,f3,hmax,0,1,0,11
5,2,f3,hnba,0,1,0,12
5,2,f6,hg,0,1,0,13
5,2,f6,hdiff,0,1,0,13
5,2,f6,hi,0,1,0,15
5,2,f6,hlength,0,1,0,12
5,2,f6,hmax,0,1,0,13
5,2,f6,hnba,0,1,0,12
6,2,f5,hg,0,1,0,13
6,2,f5,hdiff,0,1,0,13
6,2,f5,hi,0,1,0,13
6,2,f5,hlength,0,1,0,13
6,2,f5,hmax,0,1,0,12
6,2,f5,hnba,0,1,0,12
6,2,f1,hg,0,1,0,12
6,2,f1,hdiff,0,1,0,12
6,2,f2,hg,0,1,0,12
6,2,f2,hdiff,0,1,0,12
6,2,f2,hi,0,1,0,14
6,2,f2,hlength,0,1,0,12
6,2,f2,hmax,0,1,0,12
6,2,f2,hnba,0,1,0,12
6,2,f4,hg,0,1,0,13
6,2,f4,hdiff,0,1,0,12
6,2,f4,hi,0,1,0,14
6,2,f4,hlength,0,1,0,11
6,2,f4,hmax,0,1,0,12
6,2,f4,hnba,0,1,0,11
6,2,f3,hg,0,1,0,12
6,2,f3,hdiff,0,1,0,12
6,2,f3,hi,0,1,0,12
6,2,f3,hlength,0,1,0,12
6,2,f3,hmax,0,1,0,11
6,2,f3,hnba,0,1,0,12
6,2,f6,hg,0,1,0,13
6,2,f6,hdiff,0,1,0,13
6,2,f6,hi,0,1,0,15
6,2,f6,hlength,0,1,0,12
6,2,f6,hmax,0,1,0,13
6,2,f6,hnba,0,1,0,12
7,2,f5,hg,0,1,0,13
7,2,f5,hdiff,0,1,0,13
7,2,f5,hi,0,1,0,13
7,2,f5,hlength,0,1,0,13
7,2,f5,hmax,0,1,0,12
7,2,f5,hnba,0,1,0,12
7,2,f1,hg,0,1,0,12
7,2,f1,hdiff,0,1,0,12
7,2,f2,hg,0,1,0,12
7,2,f2,hdiff,0,1,0,12
7,2,f2,hi,0,1,0,14
7,2,f2,hlength,0,1,0,12
7,2,f2,hmax,0,1,0,12
7,2,f2,hnba,0,1,0,12
7,2,f4,hg,0,1,0,13
7,2,f4,hdiff,0,1,0,12
7,2,f4,hi,0,1,0,14
7,2,f4,hlength,0,1,0,11
7,2,f4,hmax,0,1,0,12
7,2,f4,hnba,0,1,0,11
7,2,f3,hg,0,1,0,12
7,2,f3,hdiff,0,1,0,12
7,2,f3,hi,0,1,0,12
7,2,f3,hlength,0,1,0,12
7,2,f3,hmax,0,1,0,11
7,2,f3,hnba,0,1,0,12
7,2,f6,hg,0,1,0,13
7,2,f6,hdiff,0,1,0,13
7,2,f6,hi,0,1,0,15
7,2,f6,hlength,0,1,0,12
7,2,f6,hmax,0,1,0,13
7,2,f6,hnba,0,1,0,12
8,2,f5,hg,0,0,11,13
8,2,f5,hdiff,0,0,11,13
8,2,f5,hi,0,0,11,13
8,2,f5,hlength,0,0,11,13
8,2,f5,hmax,0,0,10,12
8,2,f5,hnba,1,0,9,12
8,2,f1,hg,0,0,10,12
8,2,f1,hdiff,0,0,10,12
8,2,f2,hg,1,0,9,12
8,2,f2,hdiff,1,0,9,12
8,2,f2,hi,1,0,10,14
8,2,f2,hlength,1,0,9,12
8,2,f2,hmax,0,0,10,12
8,2,f2,hnba,1,0,9,12
8,2,f4,hg,1,0,10,13
8,2,f4,hdiff,0,0,10,12
8,2,f4,hi,0,0,12,14
8,2,f4,hlength,0,0,9,11
8,2,f4,hmax,0,0,10,12
8,2,f4,hnba,0,0,9,11
8,2,f3,hg,0,0,10,12
8,2,f3,hdiff,0,0,10,12
8,2,f3,hi,0,0,10,12
8,2,f3,hlength,1,0,9,12
8,2,f3,hmax,0,0,10,11
8,2,f3,hnba,1,0,9,12
8,2,f6,hg,0,0,11,13
8,2,f6,hdiff,0,0,11,13
8,2,f6,hi,1,0,11,15
8,2,f6,hlength,0,0,10,12
8,2,f6,hmax,0,0,12,13
8,2,f6,hnba,0,0,10,12
9,2,f5,hg,0,1,0,13
